Amtlicher Gemeindeschlüssel,Bezeichnung,Verwaltungsform,Produktgruppe,Produktgruppentext,Konto,Kontotext,Euro
51130000,Essen,1,111,Verwaltungssteuerung und Service,7031,Beiträge zur gesetzlichen Sozialversicherung Beamte,14655
51130000,Essen,1,111,Verwaltungssteuerung und Service,7032,Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte,6939809
51130000,Essen,1,111,Verwaltungssteuerung und Service,7041,"Beihilfen, Unterstützungsleistungen für Beschäftigte",1970753
51130000,Essen,1,111,Verwaltungssteuerung und Service,7111,Versorgungsbezüge Beamte,13411011
51130000,Essen,1,111,Verwaltungssteuerung und Service,7112,Versorgungsbezüge Tariflich Beschäftigte,11311
51130000,Essen,1,111,Verwaltungssteuerung und Service,7141,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger",2530614
51130000,Essen,1,111,Verwaltungssteuerung und Service,7211,Unterhaltung der Grundstücke und baulichen Anlagen,37970727
51130000,Essen,1,111,Verwaltungssteuerung und Service,7241,Bewirtschaftung der Grundstücke und baulichen Anlagen,45570569
51130000,Essen,1,111,Verwaltungssteuerung und Service,7251,Haltung von Fahrzeugen,111595
51130000,Essen,1,111,Verwaltungssteuerung und Service,7255,Unterhaltung des sonstigen beweglichen Vermögens,21469
51130000,Essen,1,111,Verwaltungssteuerung und Service,7281,Auszahlungen für sonstige Sachleistungen,31684
51130000,Essen,1,111,Verwaltungssteuerung und Service,7291,Auszahlungen für sonstige Dienstleistungen,17017640
51130000,Essen,1,111,Verwaltungssteuerung und Service,7311,Zuweisungen und Zuschüsse für laufende Zwecke an das Land,6836
51130000,Essen,1,111,Verwaltungssteuerung und Service,7312,Zuweisungen und Zuschüsse für laufende Zwecke an Gemeinden/GV,334484
51130000,Essen,1,111,Verwaltungssteuerung und Service,7313,Zuweisungen und Zuschüsse für laufende Zwecke an Zweckverbände und dgl.,57800
51130000,Essen,1,111,Verwaltungssteuerung und Service,7314,Zuweisungen und Zuschüsse für laufende Zwecke an den sonstigen öffentlichen Bereich,15516
51130000,Essen,1,111,Verwaltungssteuerung und Service,7315,"Zuweisungen und Zuschüsse für laufende Zwecke an verbundene Unternehmen, Beteiligungen und Sondervermögen",1720974
51130000,Essen,1,111,Verwaltungssteuerung und Service,7317,Zuweisungen und Zuschüsse für laufende Zwecke an private Unternehmen,7000
51130000,Essen,1,111,Verwaltungssteuerung und Service,7318,Zuweisungen und Zuschüsse für laufende Zwecke an übrige Bereiche,1923111
51130000,Essen,1,111,Verwaltungssteuerung und Service,7391,Sonstige Transferauszahlungen,661359
51130000,Essen,1,111,Verwaltungssteuerung und Service,7411,Sonstige Personal- und Versorgungsauszahlungen,686952
51130000,Essen,1,111,Verwaltungssteuerung und Service,7412,Besondere zahlungswirksame Aufwendungen für Beschäftigte,777140
51130000,Essen,1,111,Verwaltungssteuerung und Service,7421,Auszahlungen für ehrenamtliche und sonstige Tätigkeit,313507
51130000,Essen,1,111,Verwaltungssteuerung und Service,7422,Mieten und Pachten,21379312
51130000,Essen,1,111,Verwaltungssteuerung und Service,7423,Leasing,179512
51130000,Essen,1,111,Verwaltungssteuerung und Service,7429,Sonstige Auszahlungen für die Inanspruchnahme von Rechten und Diensten,371
51130000,Essen,1,111,Verwaltungssteuerung und Service,7431,Geschäftsauszahlungen,4473243
51130000,Essen,1,111,Verwaltungssteuerung und Service,7441,"Steuern, Versicherungen, Schadensfälle",3282654
51130000,Essen,1,111,Verwaltungssteuerung und Service,7492,Fraktionszuwendungen,2080087
51130000,Essen,1,111,Verwaltungssteuerung und Service,7499,Übrige weitere sonstige Auszahlungen aus laufender Verwaltungstätigkeit,5864524
51130000,Essen,1,111,Verwaltungssteuerung und Service,7599,Sonstige Finanzauszahlungen,253
51130000,Essen,1,111,Verwaltungssteuerung und Service,7815,"Zuweisungen und Zuschüsse für Investitionen an verbundene Unternehmen, Beteiligungen und Sondervermögen",400000
51130000,Essen,1,111,Verwaltungssteuerung und Service,7821,Auszahlungen für den Erwerb von Grundstücken und Gebäuden,520672
51130000,Essen,1,111,Verwaltungssteuerung und Service,7831,Auszahlungen für den Erwerb von Vermögensgegenständen oberhalb der Wertgrenze von 410 Euro,953599
51130000,Essen,1,111,Verwaltungssteuerung und Service,7832,Auszahlungen für den Erwerb von Vermögensgegenständen unterhalb der Wertgrenze von 410 Euro,91148
51130000,Essen,1,111,Verwaltungssteuerung und Service,7851,Auszahlungen für Hochbaumaßnahmen,7215487
51130000,Essen,1,111,Verwaltungssteuerung und Service,7852,Auszahlungen für Tiefbaumaßnahmen,33055
51130000,Essen,1,111,Verwaltungssteuerung und Service,7868,Gewährung von Ausleihungen an sonstige inländische Bereiche,57099
51130000,Essen,1,121,Statistik und Wahlen,6141,Zuweisungen und Zuschüsse für laufende Zwecke vom Land,198000
51130000,Essen,1,121,Statistik und Wahlen,6421,Einzahlungen aus Verkauf,16584
51130000,Essen,1,121,Statistik und Wahlen,6481,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Land",861526
51130000,Essen,1,121,Statistik und Wahlen,6482,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von Gemeinden/GV",30000
51130000,Essen,1,121,Statistik und Wahlen,6485,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von verbundenen Unternehmen, Beteiligungen und Sondervermögen",189
51130000,Essen,1,121,Statistik und Wahlen,6487,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von privaten Unternehmen",98
51130000,Essen,1,121,Statistik und Wahlen,6488,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von übrigen Bereichen",4542
51130000,Essen,1,121,Statistik und Wahlen,6591,Sonstige Einzahlungen aus laufender Verwaltungstätigkeit,267
51130000,Essen,1,121,Statistik und Wahlen,7011,Dienstbezüge Beamte,345139
51130000,Essen,1,121,Statistik und Wahlen,7012,Dienstbezüge Tariflich Beschäftigte,387798
51130000,Essen,1,121,Statistik und Wahlen,7022,Beiträge zu Versorgungskassen Tariflich Beschäftigte,26521
51130000,Essen,1,121,Statistik und Wahlen,7031,Beiträge zur gesetzlichen Sozialversicherung Beamte,140
51130000,Essen,1,121,Statistik und Wahlen,7032,Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte,73457
51130000,Essen,1,121,Statistik und Wahlen,7041,"Beihilfen, Unterstützungsleistungen für Beschäftigte",21663
51130000,Essen,1,121,Statistik und Wahlen,7111,Versorgungsbezüge Beamte,154208
51130000,Essen,1,121,Statistik und Wahlen,7112,Versorgungsbezüge Tariflich Beschäftigte,142
51130000,Essen,1,121,Statistik und Wahlen,7141,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger",31198
51130000,Essen,1,121,Statistik und Wahlen,7211,Unterhaltung der Grundstücke und baulichen Anlagen,98
51130000,Essen,1,121,Statistik und Wahlen,7241,Bewirtschaftung der Grundstücke und baulichen Anlagen,3737
51130000,Essen,1,121,Statistik und Wahlen,7251,Haltung von Fahrzeugen,1508
51130000,Essen,1,121,Statistik und Wahlen,7255,Unterhaltung des sonstigen beweglichen Vermögens,86
51130000,Essen,1,121,Statistik und Wahlen,7291,Auszahlungen für sonstige Dienstleistungen,398479
51130000,Essen,1,121,Statistik und Wahlen,7411,Sonstige Personal- und Versorgungsauszahlungen,20311
51130000,Essen,1,121,Statistik und Wahlen,7421,Auszahlungen für ehrenamtliche und sonstige Tätigkeit,224379
51130000,Essen,1,121,Statistik und Wahlen,7422,Mieten und Pachten,7729
51130000,Essen,1,121,Statistik und Wahlen,7431,Geschäftsauszahlungen,664880
51130000,Essen,1,121,Statistik und Wahlen,7441,"Steuern, Versicherungen, Schadensfälle",812
51130000,Essen,1,121,Statistik und Wahlen,7831,Auszahlungen für den Erwerb von Vermögensgegenständen oberhalb der Wertgrenze von 410 Euro,21915
51130000,Essen,1,121,Statistik und Wahlen,7832,Auszahlungen für den Erwerb von Vermögensgegenständen unterhalb der Wertgrenze von 410 Euro,1457
51130000,Essen,1,122,Ordnungsangelegenheiten,6144,Zuweisungen und Zuschüsse für laufende Zwecke vom sonstigen öffentlichen Bereich,28461
51130000,Essen,1,122,Ordnungsangelegenheiten,6145,"Zuweisungen und Zuschüsse für laufende Zwecke von verbundenen Unternehmen, Beteiligungen und Sondervermögen",1339
51130000,Essen,1,122,Ordnungsangelegenheiten,6311,Verwaltungsgebühren,12286606
51130000,Essen,1,122,Ordnungsangelegenheiten,6321,Benutzungsgebühren und ähnliche Entgelte,1579749
51130000,Essen,1,122,Ordnungsangelegenheiten,6411,Mieten und Pachten,48906
51130000,Essen,1,122,Ordnungsangelegenheiten,6421,Einzahlungen aus Verkauf,48580
51130000,Essen,1,122,Ordnungsangelegenheiten,6461,Sonstige privatrechtliche Leistungsentgelte,7036
51130000,Essen,1,122,Ordnungsangelegenheiten,6480,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Bund",7798
51130000,Essen,1,122,Ordnungsangelegenheiten,6481,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Land",83134
51130000,Essen,1,122,Ordnungsangelegenheiten,6485,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von verbundenen Unternehmen, Beteiligungen und Sondervermögen",6138
51130000,Essen,1,122,Ordnungsangelegenheiten,6486,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von sonstigen öffentlichen Sonderrechnungen",168725
51130000,Essen,1,122,Ordnungsangelegenheiten,6488,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von übrigen Bereichen",760548
51130000,Essen,1,122,Ordnungsangelegenheiten,6561,Bußgelder,10421951
51130000,Essen,1,122,Ordnungsangelegenheiten,6591,Sonstige Einzahlungen aus laufender Verwaltungstätigkeit,10910
51130000,Essen,1,122,Ordnungsangelegenheiten,6651,Gewinnanteile von verbundenen Unternehmen und aus Beteiligungen,2545
51130000,Essen,1,122,Ordnungsangelegenheiten,6811,Investitionszuwendungen vom Land,831
51130000,Essen,1,122,Ordnungsangelegenheiten,7011,Dienstbezüge Beamte,11291827
51130000,Essen,1,122,Ordnungsangelegenheiten,7012,Dienstbezüge Tariflich Beschäftigte,10235472
51130000,Essen,1,122,Ordnungsangelegenheiten,7019,Dienstbezüge Sonstige Beschäftigte,11562
51130000,Essen,1,122,Ordnungsangelegenheiten,7022,Beiträge zu Versorgungskassen Tariflich Beschäftigte,709252
51130000,Essen,1,122,Ordnungsangelegenheiten,7031,Beiträge zur gesetzlichen Sozialversicherung Beamte,7991
51130000,Essen,1,122,Ordnungsangelegenheiten,7032,Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte,2089931
51130000,Essen,1,122,Ordnungsangelegenheiten,7041,"Beihilfen, Unterstützungsleistungen für Beschäftigte",701882
51130000,Essen,1,122,Ordnungsangelegenheiten,7111,Versorgungsbezüge Beamte,5004777
51130000,Essen,1,122,Ordnungsangelegenheiten,7112,Versorgungsbezüge Tariflich Beschäftigte,4525
51130000,Essen,1,122,Ordnungsangelegenheiten,7141,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger",1012275
51130000,Essen,1,122,Ordnungsangelegenheiten,7211,Unterhaltung der Grundstücke und baulichen Anlagen,211827
51130000,Essen,1,122,Ordnungsangelegenheiten,7232,Erstattungen für Auszahlungen von Dritten aus laufender Verwaltungstätigkeit an Gemeinden/GV,715
51130000,Essen,1,122,Ordnungsangelegenheiten,7241,Bewirtschaftung der Grundstücke und baulichen Anlagen,36241
51130000,Essen,1,122,Ordnungsangelegenheiten,7251,Haltung von Fahrzeugen,59846
51130000,Essen,1,122,Ordnungsangelegenheiten,7255,Unterhaltung des sonstigen beweglichen Vermögens,6451
51130000,Essen,1,122,Ordnungsangelegenheiten,7281,Auszahlungen für sonstige Sachleistungen,1954
51130000,Essen,1,122,Ordnungsangelegenheiten,7291,Auszahlungen für sonstige Dienstleistungen,2689339
51130000,Essen,1,122,Ordnungsangelegenheiten,7315,"Zuweisungen und Zuschüsse für laufende Zwecke an verbundene Unternehmen, Beteiligungen und Sondervermögen",7213
51130000,Essen,1,122,Ordnungsangelegenheiten,7316,Zuweisungen und Zuschüsse für laufende Zwecke an sonstige öffentliche Sonderrechnungen,1572600
51130000,Essen,1,122,Ordnungsangelegenheiten,7318,Zuweisungen und Zuschüsse für laufende Zwecke an übrige Bereiche,203163
51130000,Essen,1,122,Ordnungsangelegenheiten,7411,Sonstige Personal- und Versorgungsauszahlungen,210803
51130000,Essen,1,122,Ordnungsangelegenheiten,7412,Besondere zahlungswirksame Aufwendungen für Beschäftigte,59859
51130000,Essen,1,122,Ordnungsangelegenheiten,7421,Auszahlungen für ehrenamtliche und sonstige Tätigkeit,867103
51130000,Essen,1,122,Ordnungsangelegenheiten,7422,Mieten und Pachten,92267
51130000,Essen,1,122,Ordnungsangelegenheiten,7423,Leasing,108205
51130000,Essen,1,122,Ordnungsangelegenheiten,7429,Sonstige Auszahlungen für die Inanspruchnahme von Rechten und Diensten,8811
51130000,Essen,1,122,Ordnungsangelegenheiten,7431,Geschäftsauszahlungen,3062003
51130000,Essen,1,122,Ordnungsangelegenheiten,7441,"Steuern, Versicherungen, Schadensfälle",35461
51130000,Essen,1,122,Ordnungsangelegenheiten,7831,Auszahlungen für den Erwerb von Vermögensgegenständen oberhalb der Wertgrenze von 410 Euro,148194
51130000,Essen,1,122,Ordnungsangelegenheiten,7832,Auszahlungen für den Erwerb von Vermögensgegenständen unterhalb der Wertgrenze von 410 Euro,45995
51130000,Essen,1,122,Ordnungsangelegenheiten,7843,Auszahlungen für den Erwerb von sonstigen Anteilsrechten,15000
51130000,Essen,1,122,Ordnungsangelegenheiten,7852,Auszahlungen für Tiefbaumaßnahmen,144
51130000,Essen,1,126,Brandschutz,6144,Zuweisungen und Zuschüsse für laufende Zwecke vom sonstigen öffentlichen Bereich,6007
51130000,Essen,1,126,Brandschutz,6311,Verwaltungsgebühren,3248
51130000,Essen,1,126,Brandschutz,6321,Benutzungsgebühren und ähnliche Entgelte,1381139
51130000,Essen,1,126,Brandschutz,6421,Einzahlungen aus Verkauf,298
51130000,Essen,1,126,Brandschutz,6461,Sonstige privatrechtliche Leistungsentgelte,178843
51130000,Essen,1,126,Brandschutz,6480,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Bund",1475
51130000,Essen,1,126,Brandschutz,6481,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Land",12876
51130000,Essen,1,126,Brandschutz,6485,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von verbundenen Unternehmen, Beteiligungen und Sondervermögen",11121
51130000,Essen,1,126,Brandschutz,6487,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von privaten Unternehmen",378
51130000,Essen,1,126,Brandschutz,6591,Sonstige Einzahlungen aus laufender Verwaltungstätigkeit,2214
51130000,Essen,1,126,Brandschutz,6811,Investitionszuwendungen vom Land,751674
51130000,Essen,1,126,Brandschutz,6815,"Investitionszuwendungen von verbundenen Unternehmen, Beteiligungen und Sondervermögen",550000
51130000,Essen,1,126,Brandschutz,6832,Einzahlungen aus der Veräußerung von immateriellen Vermögensgegenständen,202
51130000,Essen,1,126,Brandschutz,7011,Dienstbezüge Beamte,20378298
51130000,Essen,1,126,Brandschutz,7012,Dienstbezüge Tariflich Beschäftigte,784795
51130000,Essen,1,126,Brandschutz,7022,Beiträge zu Versorgungskassen Tariflich Beschäftigte,53933
51130000,Essen,1,126,Brandschutz,7031,Beiträge zur gesetzlichen Sozialversicherung Beamte,8341
51130000,Essen,1,126,Brandschutz,7032,Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte,164684
51130000,Essen,1,126,Brandschutz,7041,"Beihilfen, Unterstützungsleistungen für Beschäftigte",1264003
51130000,Essen,1,126,Brandschutz,7111,Versorgungsbezüge Beamte,9058161
51130000,Essen,1,126,Brandschutz,7112,Versorgungsbezüge Tariflich Beschäftigte,8194
51130000,Essen,1,126,Brandschutz,7141,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger",1832088
51130000,Essen,1,126,Brandschutz,7211,Unterhaltung der Grundstücke und baulichen Anlagen,1007368
51130000,Essen,1,126,Brandschutz,7221,Unterhaltung des sonstigen unbeweglichen Vermögens,61385
51130000,Essen,1,126,Brandschutz,7241,Bewirtschaftung der Grundstücke und baulichen Anlagen,877453
51130000,Essen,1,126,Brandschutz,7251,Haltung von Fahrzeugen,1011862
51130000,Essen,1,126,Brandschutz,7255,Unterhaltung des sonstigen beweglichen Vermögens,286685
51130000,Essen,1,126,Brandschutz,7281,Auszahlungen für sonstige Sachleistungen,5628
51130000,Essen,1,126,Brandschutz,7291,Auszahlungen für sonstige Dienstleistungen,338882
51130000,Essen,1,126,Brandschutz,7411,Sonstige Personal- und Versorgungsauszahlungen,72402
51130000,Essen,1,126,Brandschutz,7412,Besondere zahlungswirksame Aufwendungen für Beschäftigte,461336
51130000,Essen,1,126,Brandschutz,7421,Auszahlungen für ehrenamtliche und sonstige Tätigkeit,87182
51130000,Essen,1,126,Brandschutz,7422,Mieten und Pachten,267568
51130000,Essen,1,126,Brandschutz,7423,Leasing,5862
51130000,Essen,1,126,Brandschutz,7429,Sonstige Auszahlungen für die Inanspruchnahme von Rechten und Diensten,35214
51130000,Essen,1,126,Brandschutz,7431,Geschäftsauszahlungen,113894
51130000,Essen,1,126,Brandschutz,7441,"Steuern, Versicherungen, Schadensfälle",315083
51130000,Essen,1,126,Brandschutz,7831,Auszahlungen für den Erwerb von Vermögensgegenständen oberhalb der Wertgrenze von 410 Euro,854443
51130000,Essen,1,126,Brandschutz,7832,Auszahlungen für den Erwerb von Vermögensgegenständen unterhalb der Wertgrenze von 410 Euro,156514
51130000,Essen,1,126,Brandschutz,7851,Auszahlungen für Hochbaumaßnahmen,345755
51130000,Essen,1,126,Brandschutz,7852,Auszahlungen für Tiefbaumaßnahmen,58272
51130000,Essen,1,127,Rettungsdienst,6144,Zuweisungen und Zuschüsse für laufende Zwecke vom sonstigen öffentlichen Bereich,528
51130000,Essen,1,127,Rettungsdienst,6311,Verwaltungsgebühren,5460
51130000,Essen,1,127,Rettungsdienst,6321,Benutzungsgebühren und ähnliche Entgelte,21920558
51130000,Essen,1,127,Rettungsdienst,6461,Sonstige privatrechtliche Leistungsentgelte,234157
51130000,Essen,1,127,Rettungsdienst,6480,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Bund",3953
51130000,Essen,1,127,Rettungsdienst,6482,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von Gemeinden/GV",5087
51130000,Essen,1,127,Rettungsdienst,6485,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von verbundenen Unternehmen, Beteiligungen und Sondervermögen",3827
51130000,Essen,1,127,Rettungsdienst,6487,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von privaten Unternehmen",1000
51130000,Essen,1,127,Rettungsdienst,6591,Sonstige Einzahlungen aus laufender Verwaltungstätigkeit,1760434
51130000,Essen,1,127,Rettungsdienst,7011,Dienstbezüge Beamte,7030144
51130000,Essen,1,127,Rettungsdienst,7012,Dienstbezüge Tariflich Beschäftigte,347856
51130000,Essen,1,127,Rettungsdienst,7019,Dienstbezüge Sonstige Beschäftigte,6535
51130000,Essen,1,127,Rettungsdienst,7022,Beiträge zu Versorgungskassen Tariflich Beschäftigte,23649
51130000,Essen,1,127,Rettungsdienst,7031,Beiträge zur gesetzlichen Sozialversicherung Beamte,2916
51130000,Essen,1,127,Rettungsdienst,7032,Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte,72010
51130000,Essen,1,127,Rettungsdienst,7041,"Beihilfen, Unterstützungsleistungen für Beschäftigte",435586
51130000,Essen,1,127,Rettungsdienst,7111,Versorgungsbezüge Beamte,3120475
51130000,Essen,1,127,Rettungsdienst,7112,Versorgungsbezüge Tariflich Beschäftigte,2822
51130000,Essen,1,127,Rettungsdienst,7141,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger",631299
51130000,Essen,1,127,Rettungsdienst,7211,Unterhaltung der Grundstücke und baulichen Anlagen,1428
51130000,Essen,1,127,Rettungsdienst,7238,Erstattungen für Auszahlungen von Dritten aus laufender Verwaltungstätigkeit an übrige Bereiche,2145
51130000,Essen,1,127,Rettungsdienst,7241,Bewirtschaftung der Grundstücke und baulichen Anlagen,16099
51130000,Essen,1,127,Rettungsdienst,7251,Haltung von Fahrzeugen,794733
51130000,Essen,1,127,Rettungsdienst,7255,Unterhaltung des sonstigen beweglichen Vermögens,280651
51130000,Essen,1,127,Rettungsdienst,7291,Auszahlungen für sonstige Dienstleistungen,79866
51130000,Essen,1,127,Rettungsdienst,7411,Sonstige Personal- und Versorgungsauszahlungen,13203
51130000,Essen,1,127,Rettungsdienst,7412,Besondere zahlungswirksame Aufwendungen für Beschäftigte,148699
51130000,Essen,1,127,Rettungsdienst,7421,Auszahlungen für ehrenamtliche und sonstige Tätigkeit,6837
51130000,Essen,1,127,Rettungsdienst,7422,Mieten und Pachten,484467
51130000,Essen,1,127,Rettungsdienst,7429,Sonstige Auszahlungen für die Inanspruchnahme von Rechten und Diensten,7353810
51130000,Essen,1,127,Rettungsdienst,7431,Geschäftsauszahlungen,99989
51130000,Essen,1,127,Rettungsdienst,7441,"Steuern, Versicherungen, Schadensfälle",159423
51130000,Essen,1,127,Rettungsdienst,7831,Auszahlungen für den Erwerb von Vermögensgegenständen oberhalb der Wertgrenze von 410 Euro,1534315
51130000,Essen,1,127,Rettungsdienst,7832,Auszahlungen für den Erwerb von Vermögensgegenständen unterhalb der Wertgrenze von 410 Euro,36061
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",6141,Zuweisungen und Zuschüsse für laufende Zwecke vom Land,30000
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",6144,Zuweisungen und Zuschüsse für laufende Zwecke vom sonstigen öffentlichen Bereich,66
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",6461,Sonstige privatrechtliche Leistungsentgelte,1618
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",6480,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Bund",23421
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",6484,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom sonstigen öffentlichen Bereich",2758
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",6485,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von verbundenen Unternehmen, Beteiligungen und Sondervermögen",130
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",6561,Bußgelder,628
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",7011,Dienstbezüge Beamte,238733
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",7012,Dienstbezüge Tariflich Beschäftigte,6196
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",7019,Dienstbezüge Sonstige Beschäftigte,617
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",7022,Beiträge zu Versorgungskassen Tariflich Beschäftigte,426
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",7031,Beiträge zur gesetzlichen Sozialversicherung Beamte,97
51130000,Essen,1,128,"Abwehr v. Großschadensereignissen, Katastroph.",7032,Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte,1309
